       13728           1
        2343        5081        2765
        5081         948        2765
        2982         548        5640
        6934        2778        2347
        6935        2779        2348
        2443        2770        5458
        5458        2770        1019
        4654        2821        1372
        2102        2821        4654
        4545        2906         522
        2079        2906        4545
        5640         548        2469
        2532        2798        5756
        2078        2909        4546
        2909         523        4546
        5756        2798         419
        4123        3102         329
        2024        3102        4123
        2988         407        4267
        2014        2988        4267
        6985        2429        2806
         386        6934        2347
         387        6935        2348
        2591        1067        6844
        2402        6930        2791
        2545         898        6742
        2546         899        6744
        2544         897        6743
        1067        2422        6844
        6742         898        2464
        6744         899        2465
        6743         897        2463
        3911        5864        2173
        6878        2648        2804
        5178        3273        1574
        5980        2342        3607
        2513        6625        4241
        3134        5156         560
        3135        5157         561
        1169        2429        6985
        3103        4467        1300
        2101        4467        3103
        6446        2591        2503
        5670        3370        2303
        1801        4147        4225
        1070        2648        6878
        6930         949        2791
        2292        5484        3148
        2293        5485        3149
         973        6446        2503
        3586        1334        4882
        6196        4069        2538
        5527        3629         379
        3896        5851        2174
        6270        4584        2299
        5294        3101         324
        5156        2871         560
        5157        2872         561
        1334        2852        4882
        1953        6044        5192
        1951        5193        6042
        2105        4861        3532
        2106        4862        3533
        2306        3273        5178
        6044        1021        5192
        5193        1022        6042
        2023        3101        5294
        6322         381        3525
        5484         967        3148
        5485         968        3149
        4775        6087         809
        1014        5670        2303
        3113        6184        2386
        4861         484        3532
        4862         485        3533
        5237        3519        2660
        1535        4175        3824
        1536        4176        3825
        4147        6433        4225
        5891         309        1904
        1471        5237        2660
         912        6196        2538
         960        6270        2299
        2573        6345        2865
        2173        5864        1588
        2571        6348        2863
        2572        6350        2864
        5689        2973         500
        2485        2973        5689
        1904         309        4239
        2386        6184         957
        2164        3941        4818
        6345         301        2865
        1449        3587        3948
        2863        6348         298
        6350         299        2864
        3824        4175        5885
        3825        4176        5886
        2587        6369        2907
        2174        5851        1589
        7005        3541        1381
        3587        5611        3948
        2361        3629        5527
        3397        5786        1301
         361        2342        5980
        2405        5046        3202
        3202        5046         488
        1221        3104        4263
        1221        4263        3793
        2165        6087        4775
        1498        4141        3102
         530        2057        2877
         861        3213        2272
         862        3214        2273
        6369         883        2907
         932        2183        3784
         958        5313        2297
         870        2298        5314
         871        5315        2299
         872        5316        2300
        1576        3217        3413
         408        3413        3217
        1342        3375        3386
         948        2551        3640
         331        3781        1966
        3228        4555        5297
         476        2514        2987
        6022        3015        1172
        1103        2996        2337
         289        2337        2996
        6625         928        4241
         933        1931        4371
         934        1932        4372
         726        5551        2052
         727        5552        2053
        2436        3853        5590
        1595        2198        5061
        6036        4202        1849
        6037        4203        1850
        1830        3131        4601
         933        3532        1931
         934        3533        1932
        6584        2492        5270
        6585        2493        5271
        3008        3678        5049
        6587        2494        5272
         555        4231        2192
         412        2665        4995
         414        4997        2663
         415        4998        2664
        2751        4283        4397
        2752        4284        4398
         497        3522        2025
        1654        5177        2183
         304        2183        5177
        2499        6322        3525
        1195        2816        2504
         629        2504        2816
        3180        5910        4278
        3179        5909        4277
        1364        4483        2527
         316        3285        5460
         538        2862        2429
        2233        6443        3254
        1359        1968        4563
        1215        4435        3930
        1147        3025        2443
         571        2443        3025
        1148        3026        2444
         572        2444        3026
        1000        2455        6361
        2191        6361        2455
        1657        3988        3349
         520        1972        4226
         952        2079        4545
         558        2928        2142
         422        2131        5104
        1570        5104        2131
        1082        2636        2569
         539        2545        2985
         541        2546        2986
         689        2459        4556
        1587        4556        2459
         437        5222        5058
        1939        5460        3285
        2240        4161        5118
        2241        4162        5119
        6745         290        3148
        6746         291        3149
        6418        4144        1443
         600        3540        2705
        1416        2705        3540
        1077        2175        3912
        1078        2176        3913
        1079        3911        2173
        1337        2415        3081
        1144        3081        2415
        1145        3082        2416
        1338        2416        3082
         928        6046        4241
        1037        2219        2920
        1038        2221        2921
        1039        2223        2922
        1342        2227        3375
        3189        4279        5933
         330        2233        2743
         628        4595        2447
        1586        2447        4595
        2432        3015        6022
        4818        3941         358
        3930        4435        6164
         388        4853        3296
        1463        3008        5049
         992        2281        3019
        2016        4874        5843
        1417        2116        4609
         857        5649        4024
         908        4283        2751
         909        4284        2752
         411        1984        3236
         458        5159        2406
        1561        3870        3656
        2260        3045        5252
        2261        3046        5253
        1080        3896        2174
        1090        3083        2250
        1091        3084        2251
        1092        3085        2252
        2516        6549        4775
         864        3215        6094
        6743        2984        1130
        2463        2984        6743
         932        3784        3886
        1173        3133        2452
         519        2452        3133
        2748        4359        6544
         961        3118        3086
        1651        3086        3118
         540        2984        2463
        5252        3045         804
        5253        3046         805
        1452        4240        3629
         548        5513        1964
        6560        2771        2688
        6561        2773        2690
        6559        2687        2772
         444        5223        2670
         445        5224        2671
        1607        2943        2345
         478        3314        2156
        1515        2328        4628
         690        4628        2328
         829        4666        4982
        3273        5615        1198
        1874        2666        4851
         406        4851        2666
         542        2275        2944
        1009        2492        6584
        1010        2493        6585
        3356        5465        5434
        4476         847        6097
        1011        2494        6587
        1308        4208        5174
        1309        4209        5175
        1311        5173        4211
        1310        5172        4210
         548        1964        3480
        1170        6560        2688
        1172        6561        2690
        1169        2687        6559
        1460        2599        3517
        1461        2600        3518
        2547        3117        5954
         461        3308        4100
         944        4589        2235
         945        4590        2236
         720        3482        1967
        1255        3096        2734
         302        2734        3096
         986        4013        2610
         988        4014        2611
         989        4015        2612
         444        4336        5223
         445        4337        5224
        1354        4747        3116
        3627        4747        1354
        2367        3225        5257
        1208        3141        3411
